epoch,selected_frac,copy_sig_frac,storeloop_frac,stackcopy_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
198000,0.7778,0.1069,0.0750,0.0361,0.0000,0.0000,0.0000,0,20.9,0.9724,1.0000,0.0837
200000,0.7847,0.1089,0.0786,0.0322,0.0000,0.0000,0.0000,0,19.4,0.9741,1.0000,0.0814
202000,0.7765,0.1030,0.0776,0.0281,0.0000,0.0000,0.0000,0,23.1,0.9666,1.0000,0.0830
204000,0.7805,0.1138,0.0828,0.0342,0.0000,0.0000,0.0000,0,19.2,0.9744,1.0000,0.0829
206000,0.7814,0.0952,0.0669,0.0317,0.0000,0.0000,0.0000,0,20.4,0.9712,1.0000,0.0807
208000,0.7872,0.0925,0.0625,0.0330,0.0000,0.0000,0.0000,0,21.1,0.9709,1.0000,0.0842
210000,0.7828,0.1047,0.0710,0.0369,0.0000,0.0000,0.0000,0,21.4,0.9712,1.0000,0.0862
212000,0.7782,0.1064,0.0789,0.0315,0.0000,0.0000,0.0000,0,20.0,0.9719,1.0000,0.0811
214000,0.7753,0.1040,0.0752,0.0332,0.0000,0.0000,0.0000,0,20.7,0.9734,1.0000,0.0828
216000,0.7727,0.0989,0.0688,0.0352,0.0000,0.0000,0.0000,0,21.1,0.9717,1.0000,0.0827
218000,0.7749,0.1040,0.0723,0.0369,0.0000,0.0000,0.0000,0,19.5,0.9739,1.0000,0.0844
220000,0.7812,0.0940,0.0669,0.0298,0.0000,0.0000,0.0000,0,22.7,0.9668,1.0000,0.0819
222000,0.7766,0.1074,0.0745,0.0344,0.0000,0.0000,0.0000,0,19.8,0.9741,1.0000,0.0843
224000,0.7750,0.1116,0.0771,0.0393,0.0000,0.0000,0.0000,0,21.3,0.9705,1.0000,0.0829
226000,0.7776,0.1084,0.0762,0.0356,0.0000,0.0000,0.0000,0,22.0,0.9695,1.0000,0.0837
228000,0.7819,0.0972,0.0654,0.0339,0.0000,0.0000,0.0000,0,20.4,0.9727,1.0000,0.0827
230000,0.7836,0.1089,0.0762,0.0364,0.0000,0.0000,0.0000,0,21.0,0.9702,1.0000,0.0828
232000,0.7812,0.0950,0.0659,0.0332,0.0000,0.0000,0.0000,0,19.6,0.9729,0.9980,0.0839
234000,0.7721,0.1060,0.0750,0.0356,0.0000,0.0000,0.0000,0,22.7,0.9683,0.9980,0.0825
236000,0.7811,0.1040,0.0732,0.0352,0.0000,0.0000,0.0000,0,22.3,0.9678,1.0000,0.0840
238000,0.7804,0.1091,0.0757,0.0386,0.0000,0.0000,0.0000,0,19.1,0.9741,1.0000,0.0827
240000,0.7712,0.1062,0.0698,0.0398,0.0000,0.0000,0.0000,0,20.8,0.9712,1.0000,0.0851
242000,0.7749,0.1062,0.0676,0.0422,0.0000,0.0000,0.0000,0,20.3,0.9707,1.0000,0.0854
244000,0.7811,0.1025,0.0693,0.0374,0.0000,0.0000,0.0000,0,22.8,0.9678,1.0000,0.0850
246000,0.7772,0.1055,0.0735,0.0376,0.0000,0.0000,0.0000,0,21.4,0.9695,1.0000,0.0852
248000,0.7822,0.1011,0.0708,0.0330,0.0000,0.0000,0.0000,0,18.7,0.9761,1.0000,0.0819
250000,0.7844,0.0981,0.0664,0.0354,0.0000,0.0000,0.0000,0,17.8,0.9773,1.0000,0.0829
252000,0.7798,0.1035,0.0720,0.0366,0.0000,0.0000,0.0000,0,18.8,0.9749,1.0000,0.0863
254000,0.7823,0.1045,0.0750,0.0342,0.0000,0.0000,0.0000,0,21.7,0.9705,1.0000,0.0859
256000,0.7800,0.1040,0.0691,0.0393,0.0000,0.0000,0.0000,0,20.5,0.9709,1.0000,0.0845
258000,0.7780,0.1113,0.0806,0.0371,0.0000,0.0000,0.0000,0,22.5,0.9688,1.0000,0.0838
260000,0.7797,0.1038,0.0693,0.0366,0.0000,0.0000,0.0000,0,23.5,0.9666,1.0000,0.0846
262000,0.7756,0.0945,0.0676,0.0305,0.0000,0.0000,0.0000,0,23.5,0.9663,1.0000,0.0843
264000,0.7715,0.1025,0.0745,0.0312,0.0000,0.0000,0.0000,0,19.9,0.9731,1.0000,0.0849
266000,0.7760,0.1035,0.0750,0.0332,0.0000,0.0000,0.0000,0,21.1,0.9709,1.0000,0.0840
268000,0.7784,0.1011,0.0762,0.0288,0.0000,0.0000,0.0000,0,18.2,0.9768,1.0000,0.0802
270000,0.7793,0.1042,0.0723,0.0356,0.0000,0.0000,0.0000,0,20.9,0.9717,1.0000,0.0856
272000,0.7787,0.1055,0.0718,0.0378,0.0000,0.0000,0.0000,0,20.5,0.9719,1.0000,0.0840
274000,0.7784,0.0994,0.0671,0.0354,0.0000,0.0000,0.0000,0,20.3,0.9719,1.0000,0.0855
276000,0.7772,0.1084,0.0720,0.0388,0.0000,0.0000,0.0000,0,22.4,0.9685,1.0000,0.0851
278000,0.7816,0.1128,0.0767,0.0396,0.0000,0.0000,0.0000,0,20.3,0.9724,0.9980,0.0779
280000,0.7776,0.1123,0.0764,0.0405,0.0000,0.0000,0.0000,0,22.8,0.9670,1.0000,0.0835
282000,0.7808,0.1042,0.0715,0.0381,0.0000,0.0000,0.0000,0,20.3,0.9724,1.0000,0.0841
284000,0.7812,0.0969,0.0684,0.0325,0.0000,0.0000,0.0000,0,18.8,0.9756,1.0000,0.0824
286000,0.7755,0.0999,0.0708,0.0312,0.0000,0.0000,0.0000,0,20.4,0.9722,1.0000,0.0804
288000,0.7831,0.1033,0.0706,0.0371,0.0000,0.0000,0.0000,0,20.9,0.9707,1.0000,0.0835
290000,0.7773,0.0957,0.0645,0.0356,0.0000,0.0000,0.0000,0,23.7,0.9673,1.0000,0.0875
292000,0.7786,0.1130,0.0806,0.0371,0.0000,0.0000,0.0000,0,19.5,0.9741,1.0000,0.0807
294000,0.7810,0.1038,0.0732,0.0347,0.0000,0.0000,0.0000,0,21.4,0.9702,1.0000,0.0842
296000,0.7841,0.1045,0.0715,0.0369,0.0000,0.0000,0.0000,0,23.1,0.9673,1.0000,0.0851
298000,0.7732,0.1108,0.0791,0.0359,0.0000,0.0000,0.0000,0,22.7,0.9688,1.0000,0.0823
300000,0.7767,0.1047,0.0662,0.0439,0.0000,0.0000,0.0000,0,24.8,0.9644,1.0000,0.0824
302000,0.7772,0.0989,0.0698,0.0320,0.0000,0.0000,0.0000,0,21.3,0.9709,1.0000,0.0818
304000,0.7755,0.1042,0.0708,0.0354,0.0000,0.0000,0.0000,0,23.6,0.9666,1.0000,0.0841
306000,0.7787,0.1074,0.0752,0.0376,0.0000,0.0000,0.0000,0,21.9,0.9700,1.0000,0.0840
308000,0.7792,0.1062,0.0752,0.0349,0.0000,0.0000,0.0000,0,23.8,0.9651,1.0000,0.0846
310000,0.7852,0.1030,0.0720,0.0344,0.0000,0.0000,0.0000,0,21.9,0.9709,1.0000,0.0856
312000,0.7810,0.1160,0.0803,0.0391,0.0000,0.0000,0.0000,0,19.3,0.9739,0.9980,0.0804
314000,0.7794,0.0977,0.0708,0.0308,0.0000,0.0000,0.0000,0,22.8,0.9675,1.0000,0.0822
316000,0.7810,0.1084,0.0781,0.0347,0.0000,0.0000,0.0000,0,21.4,0.9712,1.0000,0.0845
318000,0.7770,0.1023,0.0715,0.0349,0.0000,0.0000,0.0000,0,21.0,0.9705,1.0000,0.0846
320000,0.7812,0.1064,0.0779,0.0317,0.0000,0.0000,0.0000,0,19.2,0.9739,1.0000,0.0809
322000,0.7791,0.1016,0.0679,0.0378,0.0000,0.0000,0.0000,0,23.4,0.9663,1.0000,0.0840
324000,0.7761,0.1062,0.0747,0.0332,0.0000,0.0000,0.0000,0,22.7,0.9673,1.0000,0.0855
326000,0.7806,0.0903,0.0640,0.0288,0.0000,0.0000,0.0000,0,22.5,0.9695,1.0000,0.0807
328000,0.7803,0.1062,0.0757,0.0344,0.0000,0.0000,0.0000,0,19.3,0.9736,1.0000,0.0812
330000,0.7822,0.0994,0.0696,0.0342,0.0000,0.0000,0.0000,0,23.7,0.9666,1.0000,0.0831
332000,0.7736,0.1101,0.0757,0.0381,0.0000,0.0000,0.0000,0,20.4,0.9714,1.0000,0.0806
334000,0.7783,0.1035,0.0708,0.0359,0.0000,0.0000,0.0000,0,18.6,0.9753,1.0000,0.0852
336000,0.7744,0.1038,0.0745,0.0322,0.0000,0.0000,0.0000,0,21.5,0.9692,1.0000,0.0838
338000,0.7787,0.1035,0.0747,0.0327,0.0000,0.0000,0.0000,0,19.0,0.9763,1.0000,0.0838
340000,0.7762,0.1050,0.0745,0.0359,0.0000,0.0000,0.0000,0,18.1,0.9766,1.0000,0.0834
342000,0.7828,0.1138,0.0776,0.0396,0.0000,0.0000,0.0000,0,22.9,0.9670,0.9980,0.0819
344000,0.7751,0.1094,0.0730,0.0388,0.0000,0.0000,0.0000,0,20.4,0.9719,1.0000,0.0861
346000,0.7814,0.0942,0.0693,0.0283,0.0000,0.0000,0.0000,0,20.4,0.9717,1.0000,0.0882
348000,0.7837,0.0974,0.0681,0.0330,0.0000,0.0000,0.0000,0,20.2,0.9724,1.0000,0.0858
350000,0.7771,0.1003,0.0701,0.0339,0.0000,0.0000,0.0000,0,22.6,0.9680,1.0000,0.0878
352000,0.7766,0.1101,0.0732,0.0415,0.0000,0.0000,0.0000,0,20.6,0.9707,1.0000,0.0821
354000,0.7815,0.0974,0.0696,0.0308,0.0000,0.0000,0.0000,0,22.1,0.9692,1.0000,0.0828
356000,0.7749,0.1042,0.0737,0.0332,0.0000,0.0000,0.0000,0,21.1,0.9712,1.0000,0.0843
358000,0.7848,0.1060,0.0762,0.0327,0.0000,0.0000,0.0000,0,18.2,0.9763,1.0000,0.0842
360000,0.7817,0.0986,0.0649,0.0381,0.0000,0.0000,0.0000,0,20.3,0.9717,1.0000,0.0867
362000,0.7755,0.1025,0.0757,0.0308,0.0000,0.0000,0.0000,0,20.7,0.9712,1.0000,0.0842
