epoch,selected_frac,copy_sig_frac,storeloop_frac,stackcopy_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
428000,0.7778,0.1135,0.0806,0.0366,0.0000,0.0000,0.0000,0,23.2,0.9670,1.0000,0.0790
430000,0.7786,0.1218,0.0835,0.0442,0.0000,0.0000,0.0000,0,22.2,0.9702,1.0000,0.0773
432000,0.7836,0.1155,0.0828,0.0383,0.0000,0.0000,0.0000,0,25.9,0.9619,1.0000,0.0771
434000,0.7821,0.1204,0.0879,0.0364,0.0000,0.0000,0.0000,0,22.9,0.9697,1.0000,0.0790
436000,0.7760,0.1182,0.0789,0.0420,0.0000,0.0000,0.0000,0,21.9,0.9719,1.0000,0.0773
438000,0.7753,0.1157,0.0808,0.0383,0.0000,0.0000,0.0000,0,22.9,0.9690,1.0000,0.0771
440000,0.7770,0.1125,0.0811,0.0364,0.0000,0.0000,0.0000,0,24.4,0.9673,1.0000,0.0801
442000,0.7812,0.1194,0.0903,0.0332,0.0000,0.0000,0.0000,0,22.9,0.9697,1.0000,0.0791
444000,0.7844,0.1191,0.0857,0.0371,0.0000,0.0000,0.0000,0,23.5,0.9680,1.0000,0.0799
446000,0.7781,0.1152,0.0828,0.0349,0.0000,0.0000,0.0000,0,24.1,0.9673,1.0000,0.0780
448000,0.7784,0.1260,0.0947,0.0366,0.0000,0.0000,0.0000,0,23.7,0.9678,1.0000,0.0776
450000,0.7789,0.1257,0.0901,0.0393,0.0000,0.0000,0.0000,0,21.8,0.9705,1.0000,0.0776
452000,0.7798,0.1162,0.0850,0.0352,0.0000,0.0000,0.0000,0,23.3,0.9690,1.0000,0.0777
454000,0.7804,0.1230,0.0898,0.0366,0.0000,0.0000,0.0000,0,25.3,0.9653,1.0000,0.0803
456000,0.7786,0.1201,0.0840,0.0422,0.0000,0.0000,0.0000,0,23.5,0.9668,1.0000,0.0761
458000,0.7776,0.1101,0.0732,0.0408,0.0000,0.0000,0.0000,0,23.3,0.9678,1.0000,0.0778
460000,0.7805,0.1135,0.0806,0.0354,0.0000,0.0000,0.0000,0,22.2,0.9724,0.9980,0.0792
