epoch,selected_frac,repl_sig_frac,ldir_frac,loadpush_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
2780,0.7812,0.9958,0.9958,0.0000,0.6362,0.6321,0.9861,1,43.4,0.9912,1.0000,0.1516
2800,0.7792,0.9956,0.9956,0.0000,0.6006,0.5962,0.9861,1,41.7,0.9956,0.9961,0.1496
2820,0.7804,0.9971,0.9971,0.0000,0.6172,0.6150,0.9885,1,40.7,0.9956,1.0000,0.1506
2840,0.7742,0.9976,0.9976,0.0000,0.6196,0.6187,0.9883,1,41.5,0.9941,0.9980,0.1497
2860,0.7754,0.9956,0.9956,0.0000,0.6211,0.6179,0.9890,1,41.2,0.9949,1.0000,0.1471
2880,0.7736,0.9966,0.9966,0.0002,0.6069,0.6052,0.9836,1,41.9,0.9939,0.9961,0.1483
2900,0.7799,0.9966,0.9966,0.0000,0.6064,0.6055,0.9861,1,42.0,0.9939,1.0000,0.1451
2920,0.7780,0.9971,0.9971,0.0000,0.6106,0.6106,0.9854,1,41.7,0.9929,1.0000,0.1395
2940,0.7791,0.9954,0.9954,0.0000,0.6328,0.6328,0.9834,1,42.8,0.9917,0.9980,0.1380
2960,0.7854,0.9963,0.9963,0.0000,0.6331,0.6331,0.9902,1,41.4,0.9946,1.0000,0.1384
2980,0.7800,0.9966,0.9966,0.0000,0.6213,0.6213,0.9846,1,42.3,0.9922,1.0000,0.1388
3000,0.7827,0.9973,0.9973,0.0000,0.6235,0.6235,0.9885,1,40.2,0.9951,1.0000,0.1396
3020,0.7806,0.9976,0.9976,0.0000,0.6179,0.6179,0.9846,1,41.1,0.9939,1.0000,0.1376
3040,0.7716,0.9949,0.9949,0.0000,0.6177,0.6177,0.9873,1,41.9,0.9927,1.0000,0.1386
3060,0.7788,0.9973,0.9973,0.0000,0.6123,0.6121,0.9873,1,41.9,0.9937,1.0000,0.1373
3080,0.7805,0.9963,0.9963,0.0000,0.6189,0.6189,0.9883,1,40.6,0.9937,1.0000,0.1368
3100,0.7825,0.9973,0.9973,0.0000,0.6052,0.6050,0.9854,1,41.2,0.9941,1.0000,0.1376
3120,0.7778,0.9968,0.9968,0.0000,0.6199,0.6199,0.9856,1,40.9,0.9937,1.0000,0.1343
3140,0.7759,0.9954,0.9954,0.0000,0.6094,0.6094,0.9841,1,41.6,0.9922,0.9980,0.1324
3160,0.7817,0.9961,0.9961,0.0000,0.6174,0.6169,0.9834,1,42.0,0.9917,1.0000,0.1297
3180,0.7791,0.9961,0.9961,0.0000,0.6140,0.6140,0.9836,1,40.9,0.9939,1.0000,0.1303
3200,0.7748,0.9983,0.9983,0.0000,0.6289,0.6289,0.9861,1,40.6,0.9927,1.0000,0.1294
3220,0.7808,0.9973,0.9973,0.0000,0.6086,0.6086,0.9866,1,40.5,0.9927,0.9980,0.1264
3240,0.7792,0.9956,0.9954,0.0002,0.6226,0.6226,0.9836,1,41.9,0.9924,1.0000,0.1235
3260,0.7803,0.9966,0.9966,0.0000,0.5847,0.5847,0.9861,1,41.4,0.9927,0.9941,0.1220
3280,0.7822,0.9971,0.9971,0.0000,0.5896,0.5896,0.9814,1,41.8,0.9915,0.9961,0.1237
3300,0.7755,0.9983,0.9983,0.0005,0.5874,0.5874,0.9854,1,40.4,0.9946,0.9980,0.1232
3320,0.7831,0.9978,0.9978,0.0000,0.5701,0.5698,0.9834,1,40.4,0.9927,0.9980,0.1208
3340,0.7808,0.9971,0.9971,0.0000,0.5374,0.5374,0.9856,1,40.5,0.9929,1.0000,0.1205
3360,0.7809,0.9951,0.9951,0.0000,0.5530,0.5530,0.9858,1,39.9,0.9946,0.9980,0.1183
3380,0.7786,0.9954,0.9954,0.0000,0.5640,0.5640,0.9785,1,40.9,0.9915,1.0000,0.1171
3400,0.7773,0.9971,0.9971,0.0005,0.5383,0.5383,0.9858,1,40.0,0.9934,1.0000,0.1145
3420,0.7760,0.9976,0.9976,0.0000,0.5381,0.5381,0.9844,1,40.7,0.9924,1.0000,0.1124
3440,0.7775,0.9946,0.9946,0.0005,0.5310,0.5310,0.9863,1,39.4,0.9949,1.0000,0.1100
3460,0.7767,0.9939,0.9939,0.0007,0.4922,0.4922,0.9858,1,40.3,0.9934,1.0000,0.1111
3480,0.7794,0.9956,0.9956,0.0010,0.4849,0.4849,0.9824,1,41.8,0.9890,1.0000,0.1117
3500,0.7776,0.9976,0.9976,0.0007,0.4839,0.4839,0.9871,1,39.0,0.9941,0.9980,0.1112
3520,0.7745,0.9980,0.9980,0.0007,0.4900,0.4900,0.9861,1,39.4,0.9937,1.0000,0.1101
3540,0.7830,0.9976,0.9976,0.0002,0.4778,0.4778,0.9839,1,39.7,0.9927,1.0000,0.1106
3560,0.7815,0.9968,0.9968,0.0000,0.4678,0.4678,0.9880,1,38.6,0.9951,1.0000,0.1072
3580,0.7787,0.9966,0.9966,0.0002,0.4604,0.4602,0.9841,1,39.0,0.9932,1.0000,0.1056
3600,0.7753,0.9963,0.9963,0.0000,0.4453,0.4453,0.9810,1,40.8,0.9902,1.0000,0.1028
3620,0.7799,0.9973,0.9973,0.0007,0.4338,0.4336,0.9854,1,39.1,0.9929,1.0000,0.1012
3640,0.7822,0.9958,0.9958,0.0000,0.4534,0.4534,0.9883,1,39.3,0.9929,1.0000,0.1033
3660,0.7839,0.9978,0.9978,0.0000,0.4387,0.4387,0.9844,1,38.8,0.9927,1.0000,0.1049
3680,0.7766,0.9954,0.9954,0.0005,0.4395,0.4390,0.9819,1,39.9,0.9919,1.0000,0.1036
3700,0.7791,0.9949,0.9949,0.0002,0.4194,0.4194,0.9824,1,39.3,0.9910,0.9961,0.1052
3720,0.7839,0.9971,0.9971,0.0002,0.4255,0.4255,0.9866,1,38.0,0.9946,1.0000,0.1044
